user, text

Felizmenteamar1,RT @gndx: Estoy en @platzi live hablando de #web3 🚀😎 https://t.co/14W7MiL19t 👍 #platzilive

gndx,Estoy en @platzi live hablando de #web3 🚀😎 https://t.co/14W7MiL19t 👍 #platzilive

Jahiker,RT @platzi: 🖥️ Profesionaliza tus conocimientos sobre Next.js consumiendo una API para crear un dashboard de productos.  🚀 Aprende cómo con…

Jahiker,RT @platzi: 🖥️ Profesionaliza tus conocimientos sobre Next.js consumiendo una API para crear un dashboard de productos.  🚀 Aprende cómo con…

platzi,"@err3hach3 ¡Qué tal, Ricardo! Respondimos tu DM. 😉"

Jahiker,RT @platzi: 🖥️ Profesionaliza tus conocimientos sobre Next.js consumiendo una API para crear un dashboard de productos.  🚀 Aprende cómo con…

platzi,"@err3hach3 ¡Qué tal, Ricardo! Respondimos tu DM. 😉"

cesjam7,@necudeco @platzi @codigofacilito Eso sí no vi https://t.co/soOSZjYuTD

Jahiker,RT @platzi: 🖥️ Profesionaliza tus conocimientos sobre Next.js consumiendo una API para crear un dashboard de productos.  🚀 Aprende cómo con…

platzi,"@err3hach3 ¡Qué tal, Ricardo! Respondimos tu DM. 😉"

cesjam7,@necudeco @platzi @codigofacilito Eso sí no vi https://t.co/soOSZjYuTD

laprovittera,Estoy cursando la Licenciatura en Seguridad Informática y complemento mis estudios con la plataforma de @platzi. En… https://t.co/Qc94sEdDQf

Jahiker,RT @platzi: 🖥️ Profesionaliza tus conocimientos sobre Next.js consumiendo una API para crear un dashboard de productos.  🚀 Aprende cómo con…

platzi,"@err3hach3 ¡Qué tal, Ricardo! Respondimos tu DM. 😉"

cesjam7,@necudeco @platzi @codigofacilito Eso sí no vi https://t.co/soOSZjYuTD

laprovittera,Estoy cursando la Licenciatura en Seguridad Informática y complemento mis estudios con la plataforma de @platzi. En… https://t.co/Qc94sEdDQf

necudeco,@cesjam7 @platzi @codigofacilito Y que php es una basura y q asco q uses WordPress 🤣🤣

Jahiker,RT @platzi: 🖥️ Profesionaliza tus conocimientos sobre Next.js consumiendo una API para crear un dashboard de productos.  🚀 Aprende cómo con…

platzi,"@err3hach3 ¡Qué tal, Ricardo! Respondimos tu DM. 😉"

cesjam7,@necudeco @platzi @codigofacilito Eso sí no vi https://t.co/soOSZjYuTD

laprovittera,Estoy cursando la Licenciatura en Seguridad Informática y complemento mis estudios con la plataforma de @platzi. En… https://t.co/Qc94sEdDQf

necudeco,@cesjam7 @platzi @codigofacilito Y que php es una basura y q asco q uses WordPress 🤣🤣

leonardo__1989,"@EnchoOk No man, un horror voy a quedar como el g9rdo de platzi"

Jahiker,RT @platzi: 🖥️ Profesionaliza tus conocimientos sobre Next.js consumiendo una API para crear un dashboard de productos.  🚀 Aprende cómo con…

platzi,"@err3hach3 ¡Qué tal, Ricardo! Respondimos tu DM. 😉"

cesjam7,@necudeco @platzi @codigofacilito Eso sí no vi https://t.co/soOSZjYuTD

laprovittera,Estoy cursando la Licenciatura en Seguridad Informática y complemento mis estudios con la plataforma de @platzi. En… https://t.co/Qc94sEdDQf

necudeco,@cesjam7 @platzi @codigofacilito Y que php es una basura y q asco q uses WordPress 🤣🤣

leonardo__1989,"@EnchoOk No man, un horror voy a quedar como el g9rdo de platzi"

m_posadag,"RT @CNNEPrensa: Freddy Vega @freddier, creador de la plataforma de educación por internet @platzi, cuenta a @LongobardiM su historia de vid…"

Jahiker,RT @platzi: 🖥️ Profesionaliza tus conocimientos sobre Next.js consumiendo una API para crear un dashboard de productos.  🚀 Aprende cómo con…

platzi,"@err3hach3 ¡Qué tal, Ricardo! Respondimos tu DM. 😉"

cesjam7,@necudeco @platzi @codigofacilito Eso sí no vi https://t.co/soOSZjYuTD

laprovittera,Estoy cursando la Licenciatura en Seguridad Informática y complemento mis estudios con la plataforma de @platzi. En… https://t.co/Qc94sEdDQf

necudeco,@cesjam7 @platzi @codigofacilito Y que php es una basura y q asco q uses WordPress 🤣🤣

leonardo__1989,"@EnchoOk No man, un horror voy a quedar como el g9rdo de platzi"

m_posadag,"RT @CNNEPrensa: Freddy Vega @freddier, creador de la plataforma de educación por internet @platzi, cuenta a @LongobardiM su historia de vid…"

Zakada_Yakase,"RT @CNNEPrensa: Freddy Vega @freddier, creador de la plataforma de educación por internet @platzi, cuenta a @LongobardiM su historia de vid…"

